,class,MTH,FLD,RFC,INT,SZ,CPX,EX,RET,BCM,NML,WRD,DCM
216,com.google.javascript.jscomp.GoogleCodingConvention,7,4,26,0,10,3,0,3,9,13.285714285714286,304,16.0
217,com.google.javascript.jscomp.AliasExternals,25,25,209,1,29,10,0,3,43,14.12,1186,7.751633986928105
218,com.google.javascript.jscomp.CheckSuspiciousCode,5,2,32,0,8,1,0,0,2,12.2,124,6.2
219,com.google.javascript.jscomp.PeepholeRemoveDeadCode,28,0,405,0,66,15,0,12,28,16.75,540,1.2857142857142858
220,com.google.javascript.jscomp.InstrumentFunctions,8,12,89,1,31,8,0,2,8,10.25,468,5.85
221,com.google.javascript.jscomp.MakeDeclaredNamesUnique,40,19,175,1,19,4,0,2,23,14.825,434,2.7468354430379747
222,com.google.javascript.jscomp.ReplaceIdGenerators,16,15,131,1,33,9,0,5,3,13.25,119,0.8439716312056738
223,com.google.javascript.jscomp.CommandLineRunner,17,61,155,0,41,7,2,3,9,14.058823529411764,473,3.0127388535031847
224,com.google.javascript.jscomp.ExternExportsPass,20,13,172,1,16,5,0,5,27,16.75,616,4.562962962962963
225,com.google.javascript.jscomp.SyntacticScopeCreator,8,7,95,1,28,5,0,5,9,15.5,219,2.5764705882352943
226,com.google.javascript.jscomp.ExploitAssigns,6,0,69,0,39,7,0,8,7,16.833333333333332,298,3.725
227,com.google.javascript.jscomp.ClosureCodingConvention,25,4,133,0,28,9,0,7,12,20.88,285,2.0357142857142856
228,com.google.javascript.jscomp.DependencyOptions,9,5,11,1,3,0,0,1,7,18.22222222222222,442,31.571428571428573
229,com.google.javascript.jscomp.TypeValidator,36,20,269,0,30,10,0,5,28,16.583333333333332,1171,5.657004830917875
230,com.google.javascript.jscomp.SimpleDefinitionFinder,16,5,148,2,44,17,0,5,11,16.6875,331,1.9939759036144578
231,com.google.javascript.jscomp.JsAst,6,6,27,1,12,1,0,1,2,9.833333333333334,100,4.3478260869565215
232,com.google.javascript.jscomp.RenameProperties,14,20,158,1,42,11,0,3,21,12.642857142857142,685,3.8055555555555554
233,com.google.javascript.jscomp.ant.Warning,4,2,4,0,1,0,0,1,2,8.0,100,25.0
234,com.google.javascript.jscomp.ant.AntErrorManager,2,2,13,0,6,1,0,0,2,9.5,106,10.6
235,com.google.javascript.jscomp.ant.CompileTask,35,20,150,0,24,5,0,1,30,15.114285714285714,480,2.6815642458100557
236,com.google.javascript.jscomp.jsonml.SecureCompiler,10,10,31,0,14,3,0,2,7,12.2,260,6.190476190476191
237,com.google.javascript.jscomp.jsonml.Writer,40,0,358,0,155,4,0,2,5,13.625,182,0.441747572815534
238,com.google.javascript.jscomp.jsonml.Validator,50,7,203,0,80,4,0,1,4,16.9,193,0.8502202643171806
239,com.google.javascript.jscomp.jsonml.JsonMLAst,9,8,25,1,17,4,0,3,7,12.11111111111111,218,5.317073170731708
240,com.google.javascript.jscomp.jsonml.Reader,89,12,501,0,107,6,1,4,39,16.685393258426966,719,1.2978339350180506
241,com.google.javascript.jscomp.jsonml.JsonMLUtil,11,5,61,0,28,8,1,6,9,11.818181818181818,324,3.4468085106382977
242,com.google.javascript.jscomp.jsonml.JsonML,22,3,77,0,34,7,1,1,23,11.272727272727273,441,5.95945945945946
243,com.google.javascript.jscomp.jsonml.JsonMLException,0,1,0,0,0,0,0,0,2,0.0,107,0.0
